y(mm)	u(m/s)
0	0
1.143169	1.071851
1.536901	1.323761
1.891262	1.538259
2.284996	1.792033
2.639359	2.03614
3.033092	2.315944
3.387455	2.558716
3.781191	2.779611
4.135553	2.958843
4.529289	3.133836
4.883654	3.275272
5.27739	3.40116
5.631754	3.503912
6.025492	3.594891
6.379856	3.675238
6.773594	3.751365
7.127958	3.799921
7.521697	3.823583
7.876061	3.841129
8.2698	3.855036
8.624166	3.863844
9.017904	3.87008
9.37227	3.873391
9.766009	3.875628
10.120375	3.876633
10.514113	3.877043
10.868479	3.877238
11.262218	3.877594
11.616584	3.877543
12.010323	3.877837
12.364688	3.878342
12.758428	3.879751
13.112793	3.879396
13.506532	3.87926
13.860896	3.8782
14.254635	3.878753
14.608999	3.879639
15.002738	3.880871
15.357102	3.879596
15.711466	3.877789
16.105204	3.876174
16.459568	3.87553
16.853306	3.876927
17.207668	3.878082
17.601404	3.879679
17.955769	3.880359
18.349503	3.881686
18.703865	3.882641
19.097601	3.883592
19.451962	3.884206
19.845696	3.883431
20.200056	3.8816
20.59379	3.878831
20.948151	3.878749
21.341883	3.879961
21.696241	3.882181
22.089973	3.883981
22.44433	3.884555
22.83806	3.884053
23.192417	3.884429
23.586147	3.885129
23.940502	3.885595
24.33423	3.885765
24.688585	3.885668
25.082312	3.885372
25.436665	3.884712
25.830391	3.883914
26.184742	3.882243
26.578466	3.881372
26.932817	3.880165
27.32654	3.880499
27.680889	3.881621
28.07461	3.884594
28.428957	3.886628
28.822676	3.886894
29.177023	3.88628
29.57074	3.885331
29.925085	3.885481
30.3188	3.885676
30.673143	3.887114
31.066856	3.887702
31.421198	3.887989
31.775539	3.888627
32.16925	3.890471
32.523586	3.891998
32.917297	3.892274
33.271633	3.891731
33.665337	3.889603
34.019672	3.889725
34.413376	3.890015
34.767712	3.889699
35.161411	3.888383
35.515743	3.887509
