y(mm)	u(m/s)
0	0
1.143169	1.149846
1.536901	1.379609
1.891262	1.599913
2.284996	1.848441
2.639359	2.070643
3.033092	2.32233
3.387455	2.546281
3.781191	2.747215
4.135553	2.914515
4.529289	3.079845
4.883654	3.214456
5.27739	3.33859
5.631754	3.442298
6.025492	3.537135
6.379856	3.609382
6.773594	3.679191
7.127958	3.728813
7.521697	3.761301
7.876061	3.789515
8.2698	3.818334
8.624166	3.837953
9.017904	3.851362
9.37227	3.860866
9.766009	3.869573
10.120375	3.873928
10.514113	3.876274
10.868479	3.875484
11.262218	3.876901
11.616584	3.877262
12.010323	3.876411
12.364688	3.876689
12.758428	3.877922
13.112793	3.879156
13.506532	3.880174
13.860896	3.8824
14.254635	3.883212
14.608999	3.883474
15.002738	3.881404
15.357102	3.880022
15.711466	3.881077
16.105204	3.880757
16.459568	3.879854
16.853306	3.877261
17.207668	3.873564
17.601404	3.869362
17.955769	3.868008
18.349503	3.867229
18.703865	3.865516
19.097601	3.865128
19.451962	3.866429
19.845696	3.865583
20.200056	3.865047
20.59379	3.86524
20.948151	3.867344
21.341883	3.870949
21.696241	3.871561
22.089973	3.869574
22.44433	3.869256
22.83806	3.869352
23.192417	3.865871
23.586147	3.861339
23.940502	3.861526
24.33423	3.864859
24.688585	3.867172
25.082312	3.867435
25.436665	3.86427
25.830391	3.861634
26.184742	3.860326
26.578466	3.862156
26.932817	3.862191
27.32654	3.863136
27.680889	3.862324
28.07461	3.863756
28.428957	3.862846
28.822676	3.863634
29.177023	3.863965
29.57074	3.865782
29.925085	3.865527
30.3188	3.866907
30.673143	3.865819
31.066856	3.864256
31.421198	3.863365
31.775539	3.864026
32.16925	3.863833
32.523586	3.866245
32.917297	3.870142
33.271633	3.8731
33.665337	3.874667
34.019672	3.873118
34.413376	3.869752
34.767712	3.866585
35.161411	3.867132
35.515743	3.865881
