y(mm)	u(m/s)
0	0
1.143169	1.178209
1.536901	1.379311
1.891262	1.610662
2.284996	1.866078
2.639359	2.090701
3.033092	2.347627
3.387455	2.571269
3.781191	2.768197
4.135553	2.938791
4.529289	3.114292
4.883654	3.250498
5.27739	3.363698
5.631754	3.457931
6.025492	3.546809
6.379856	3.619467
6.773594	3.688971
7.127958	3.737827
7.521697	3.773427
7.876061	3.806635
8.2698	3.834947
8.624166	3.84945
9.017904	3.852932
9.37227	3.858475
9.766009	3.863851
10.120375	3.866868
10.514113	3.869109
10.868479	3.870969
11.262218	3.871932
11.616584	3.870874
12.010323	3.869918
12.364688	3.869847
12.758428	3.87079
13.112793	3.870521
13.506532	3.869752
13.860896	3.866228
14.254635	3.862494
14.608999	3.861776
15.002738	3.863761
15.357102	3.864331
15.711466	3.86392
16.105204	3.864334
16.459568	3.865992
16.853306	3.867343
17.207668	3.869288
17.601404	3.869178
17.955769	3.869209
18.349503	3.869267
18.703865	3.869549
19.097601	3.869217
19.451962	3.868907
19.845696	3.867494
20.200056	3.865382
20.59379	3.864073
20.948151	3.865158
21.341883	3.866733
21.696241	3.867984
22.089973	3.868134
22.44433	3.865917
22.83806	3.861533
23.192417	3.85952
23.586147	3.859513
23.940502	3.860926
24.33423	3.861349
24.688585	3.861444
25.082312	3.860809
25.436665	3.861642
25.830391	3.863332
26.184742	3.866066
26.578466	3.869039
26.932817	3.870165
27.32654	3.87035
27.680889	3.871053
28.07461	3.872154
28.428957	3.873558
28.822676	3.872206
29.177023	3.869867
29.57074	3.867865
29.925085	3.86773
30.3188	3.866671
30.673143	3.865293
31.066856	3.864162
31.421198	3.864942
31.775539	3.866386
32.16925	3.868037
32.523586	3.869556
32.917297	3.871189
33.271633	3.871277
33.665337	3.871617
34.019672	3.871919
34.413376	3.870834
34.767712	3.868799
35.161411	3.867625
35.515743	3.867776
