   y(mm)   u(m/s)
   9.7047885e-01   5.3729861e-01
   9.7629010e-01   5.4021599e-01
   9.8210135e-01   5.4312659e-01
   9.8791260e-01   5.4603034e-01
   9.9372385e-01   5.4892718e-01
   9.9953510e-01   5.5181705e-01
   1.0053464e+00   5.5469989e-01
   1.0111576e+00   5.5757563e-01
   1.0169689e+00   5.6044422e-01
   1.0227801e+00   5.6330560e-01
   1.0285914e+00   5.6615971e-01
   1.0344026e+00   5.6900648e-01
   1.0402139e+00   5.7184586e-01
   1.0460251e+00   5.7467779e-01
   1.0518364e+00   5.7750221e-01
   1.0576476e+00   5.8031907e-01
   1.0634589e+00   5.8312829e-01
   1.0692701e+00   5.8592983e-01
   1.0750814e+00   5.8872363e-01
   1.0808926e+00   5.9150963e-01
   1.0867039e+00   5.9428777e-01
   1.0925151e+00   5.9705799e-01
   1.0983264e+00   5.9982025e-01
   1.1041376e+00   6.0257447e-01
   1.1099489e+00   6.0532061e-01
   1.1157601e+00   6.0805860e-01
   1.1215714e+00   6.1078840e-01
   1.1273826e+00   6.1350994e-01
   1.1331939e+00   6.1622318e-01
   1.1390051e+00   6.1892805e-01
   1.1448164e+00   6.2162449e-01
   1.1506276e+00   6.2431247e-01
   1.1564389e+00   6.2699191e-01
   1.1622501e+00   6.2966277e-01
   1.1680614e+00   6.3232499e-01
   1.1738726e+00   6.3497852e-01
   1.1796839e+00   6.3762330e-01
   1.1854951e+00   6.4025928e-01
   1.1913064e+00   6.4288641e-01
   1.1971176e+00   6.4550464e-01
   1.2029289e+00   6.4811390e-01
   1.2087401e+00   6.5071415e-01
   1.2145514e+00   6.5330534e-01
   1.2203626e+00   6.5588741e-01
   1.2261739e+00   6.5846032e-01
   1.2319851e+00   6.6102400e-01
   1.2377964e+00   6.6357841e-01
   1.2436076e+00   6.6612351e-01
   1.2494189e+00   6.6865922e-01
   1.2552301e+00   6.7118551e-01
   1.2610414e+00   6.7370233e-01
   1.2668526e+00   6.7620963e-01
   1.2726639e+00   6.7870734e-01
   1.2784751e+00   6.8119544e-01
   1.2842864e+00   6.8367385e-01
   1.2900976e+00   6.8614255e-01
   1.2959089e+00   6.8860147e-01
   1.3017201e+00   6.9105057e-01
   1.3075314e+00   6.9348981e-01
   1.3133426e+00   6.9591916e-01
   1.3191539e+00   6.9833859e-01
   1.3249651e+00   7.0074804e-01
   1.3307764e+00   7.0314748e-01
   1.3365876e+00   7.0553685e-01
   1.3423989e+00   7.0791610e-01
   1.3482101e+00   7.1028521e-01
   1.3540214e+00   7.1264411e-01
   1.3598326e+00   7.1499277e-01
   1.3656439e+00   7.1733115e-01
   1.3714551e+00   7.1965921e-01
   1.3772664e+00   7.2197690e-01
   1.3830776e+00   7.2428419e-01
   1.3888889e+00   7.2658104e-01
   1.3947001e+00   7.2886741e-01
   1.4005114e+00   7.3114326e-01
   1.4063226e+00   7.3340856e-01
   1.4121339e+00   7.3566328e-01
   1.4179451e+00   7.3790737e-01
   1.4237564e+00   7.4014081e-01
   1.4295676e+00   7.4236356e-01
   1.4353789e+00   7.4457559e-01
   1.4411901e+00   7.4677687e-01
   1.4470014e+00   7.4896736e-01
   1.4528126e+00   7.5114704e-01
   1.4586239e+00   7.5331589e-01
   1.4644351e+00   7.5547386e-01
   1.4702464e+00   7.5762094e-01
   1.4760576e+00   7.5975709e-01
   1.4818689e+00   7.6188230e-01
   1.4876801e+00   7.6399654e-01
   1.4934914e+00   7.6609977e-01
   1.4993026e+00   7.6819199e-01
   1.5051139e+00   7.7027316e-01
   1.5109252e+00   7.7234327e-01
   1.5167364e+00   7.7440229e-01
   1.5225477e+00   7.7645021e-01
   1.5283589e+00   7.7848700e-01
   1.5341702e+00   7.8051264e-01
